File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s03/CWE134_Uncontrolled_Format_String__char_file_vprintf_01.c,39,9,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vprintf(data, args);",7135c1dca4145602d08b7ec7b50267488d0d48794924c0be480dde44f1e38d91
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s03/CWE134_Uncontrolled_Format_String__char_file_vprintf_01.c,84,9,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vprintf(data, args);",7135c1dca4145602d08b7ec7b50267488d0d48794924c0be480dde44f1e38d91
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s03/CWE134_Uncontrolled_Format_String__char_file_vprintf_02.c,39,9,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vprintf(data, args);",7135c1dca4145602d08b7ec7b50267488d0d48794924c0be480dde44f1e38d91
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s03/CWE134_Uncontrolled_Format_String__char_file_vprintf_02.c,188,9,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vprintf(data, args);",7135c1dca4145602d08b7ec7b50267488d0d48794924c0be480dde44f1e38d91
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s03/CWE134_Uncontrolled_Format_String__char_file_vprintf_02.c,221,9,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vprintf(data, args);",7135c1dca4145602d08b7ec7b50267488d0d48794924c0be480dde44f1e38d91
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s03/CWE134_Uncontrolled_Format_String__char_file_vprintf_03.c,39,9,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vprintf(data, args);",7135c1dca4145602d08b7ec7b50267488d0d48794924c0be480dde44f1e38d91
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s03/CWE134_Uncontrolled_Format_String__char_file_vprintf_03.c,188,9,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vprintf(data, args);",7135c1dca4145602d08b7ec7b50267488d0d48794924c0be480dde44f1e38d91
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s03/CWE134_Uncontrolled_Format_String__char_file_vprintf_03.c,221,9,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vprintf(data, args);",7135c1dca4145602d08b7ec7b50267488d0d48794924c0be480dde44f1e38d91
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s03/CWE134_Uncontrolled_Format_String__char_file_vprintf_04.c,45,9,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vprintf(data, args);",7135c1dca4145602d08b7ec7b50267488d0d48794924c0be480dde44f1e38d91
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s03/CWE134_Uncontrolled_Format_String__char_file_vprintf_04.c,194,9,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vprintf(data, args);",7135c1dca4145602d08b7ec7b50267488d0d48794924c0be480dde44f1e38d91
