File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s06/CWE134_Uncontrolled_Format_String__wchar_t_listen_socket_printf_01.c,132,5,4,format,wprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,    wprintf(data);,c0424eaa308f1977295a4f9dbf79c7e7ada370a0440b23c49ec5df803353b58d
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s06/CWE134_Uncontrolled_Format_String__wchar_t_listen_socket_printf_01.c,148,5,4,format,wprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,    wprintf(data);,c0424eaa308f1977295a4f9dbf79c7e7ada370a0440b23c49ec5df803353b58d
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s06/CWE134_Uncontrolled_Format_String__wchar_t_listen_socket_printf_02.c,137,9,4,format,wprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,        wprintf(data);,c0424eaa308f1977295a4f9dbf79c7e7ada370a0440b23c49ec5df803353b58d
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s06/CWE134_Uncontrolled_Format_String__wchar_t_listen_socket_printf_02.c,359,9,4,format,wprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,        wprintf(data);,c0424eaa308f1977295a4f9dbf79c7e7ada370a0440b23c49ec5df803353b58d
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s06/CWE134_Uncontrolled_Format_String__wchar_t_listen_socket_printf_02.c,377,9,4,format,wprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,        wprintf(data);,c0424eaa308f1977295a4f9dbf79c7e7ada370a0440b23c49ec5df803353b58d
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s06/CWE134_Uncontrolled_Format_String__wchar_t_listen_socket_printf_03.c,137,9,4,format,wprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,        wprintf(data);,c0424eaa308f1977295a4f9dbf79c7e7ada370a0440b23c49ec5df803353b58d
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s06/CWE134_Uncontrolled_Format_String__wchar_t_listen_socket_printf_03.c,359,9,4,format,wprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,        wprintf(data);,c0424eaa308f1977295a4f9dbf79c7e7ada370a0440b23c49ec5df803353b58d
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s06/CWE134_Uncontrolled_Format_String__wchar_t_listen_socket_printf_03.c,377,9,4,format,wprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,        wprintf(data);,c0424eaa308f1977295a4f9dbf79c7e7ada370a0440b23c49ec5df803353b58d
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s06/CWE134_Uncontrolled_Format_String__wchar_t_listen_socket_printf_04.c,143,9,4,format,wprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,        wprintf(data);,c0424eaa308f1977295a4f9dbf79c7e7ada370a0440b23c49ec5df803353b58d
/home/input/C/testcases/CWE134_Uncontrolled_Format_String/s06/CWE134_Uncontrolled_Format_String__wchar_t_listen_socket_printf_04.c,365,9,4,format,wprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,        wprintf(data);,c0424eaa308f1977295a4f9dbf79c7e7ada370a0440b23c49ec5df803353b58d
