File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_01.c,28,5,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","    fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_01.c,62,5,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","    fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_02.c,30,9,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_02.c,55,9,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_02.c,88,9,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_03.c,30,9,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_03.c,55,9,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_03.c,88,9,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_04.c,36,9,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_04.c,61,9,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_04.c,94,9,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_05.c,36,9,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_05.c,61,9,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
/home/input/C/testcases/CWE191_Integer_Underflow/s01/CWE191_Integer_Underflow__int64_t_fscanf_multiply_05.c,94,9,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        fscanf (stdin, ""%"" SCNd64, &data);",fd5ebc163641bcd17b35ce182d6efd8276d33714e5281ed01fb7a88846606d47
