File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_01.c,53,9,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,        ImpersonateNamedPipeClient(hPipe);,19d098790707562e3c135eb703cbdfcb38f6831135de9600023ee2987cb38ac8
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_01.c,92,14,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,        if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_02.c,55,13,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            ImpersonateNamedPipeClient(hPipe);,19d098790707562e3c135eb703cbdfcb38f6831135de9600023ee2987cb38ac8
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_02.c,103,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_02.c,148,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_03.c,55,13,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            ImpersonateNamedPipeClient(hPipe);,19d098790707562e3c135eb703cbdfcb38f6831135de9600023ee2987cb38ac8
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_03.c,103,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_03.c,148,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_04.c,61,13,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            ImpersonateNamedPipeClient(hPipe);,19d098790707562e3c135eb703cbdfcb38f6831135de9600023ee2987cb38ac8
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_04.c,109,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_04.c,154,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_05.c,61,13,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            ImpersonateNamedPipeClient(hPipe);,19d098790707562e3c135eb703cbdfcb38f6831135de9600023ee2987cb38ac8
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_05.c,109,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_05.c,154,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_06.c,60,13,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            ImpersonateNamedPipeClient(hPipe);,19d098790707562e3c135eb703cbdfcb38f6831135de9600023ee2987cb38ac8
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_06.c,108,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_06.c,153,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_07.c,60,13,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            ImpersonateNamedPipeClient(hPipe);,19d098790707562e3c135eb703cbdfcb38f6831135de9600023ee2987cb38ac8
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_07.c,108,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_07.c,153,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_08.c,68,13,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            ImpersonateNamedPipeClient(hPipe);,19d098790707562e3c135eb703cbdfcb38f6831135de9600023ee2987cb38ac8
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_08.c,116,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
/home/input/C/testcases/CWE273_Improper_Check_for_Dropped_Privileges/CWE273_Improper_Check_for_Dropped_Privileges__w32_ImpersonateNamedPipeClient_08.c,161,18,4,access,ImpersonateNamedPipeClient,"If this call fails, the program could fail to drop heightened privileges (CWE-250)","Make sure the return value is checked, and do not continue if a failure is reported",,CWE-250,            if (!ImpersonateNamedPipeClient(hPipe)),38f0798ae0fa9690dd86ee4fcadddb9798719aa994a5c3884e76ed56538f409d
