File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE367_TOC_TOU/CWE367_TOC_TOU__access_01.c,39,16,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,#define ACCESS access,dcdbd45bba4dde95569a305d02848559663b519922b0233e85980036fea72b06
/home/input/C/testcases/CWE367_TOC_TOU/CWE367_TOC_TOU__access_02.c,39,16,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,#define ACCESS access,dcdbd45bba4dde95569a305d02848559663b519922b0233e85980036fea72b06
/home/input/C/testcases/CWE367_TOC_TOU/CWE367_TOC_TOU__access_03.c,39,16,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,#define ACCESS access,dcdbd45bba4dde95569a305d02848559663b519922b0233e85980036fea72b06
/home/input/C/testcases/CWE367_TOC_TOU/CWE367_TOC_TOU__access_04.c,39,16,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,#define ACCESS access,dcdbd45bba4dde95569a305d02848559663b519922b0233e85980036fea72b06
/home/input/C/testcases/CWE367_TOC_TOU/CWE367_TOC_TOU__access_05.c,39,16,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,#define ACCESS access,dcdbd45bba4dde95569a305d02848559663b519922b0233e85980036fea72b06
/home/input/C/testcases/CWE367_TOC_TOU/CWE367_TOC_TOU__access_06.c,39,16,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,#define ACCESS access,dcdbd45bba4dde95569a305d02848559663b519922b0233e85980036fea72b06
/home/input/C/testcases/CWE367_TOC_TOU/CWE367_TOC_TOU__access_07.c,39,16,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,#define ACCESS access,dcdbd45bba4dde95569a305d02848559663b519922b0233e85980036fea72b06
/home/input/C/testcases/CWE367_TOC_TOU/CWE367_TOC_TOU__access_08.c,39,16,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,#define ACCESS access,dcdbd45bba4dde95569a305d02848559663b519922b0233e85980036fea72b06
/home/input/C/testcases/CWE367_TOC_TOU/CWE367_TOC_TOU__access_09.c,39,16,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,#define ACCESS access,dcdbd45bba4dde95569a305d02848559663b519922b0233e85980036fea72b06
/home/input/C/testcases/CWE367_TOC_TOU/CWE367_TOC_TOU__access_10.c,39,16,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,#define ACCESS access,dcdbd45bba4dde95569a305d02848559663b519922b0233e85980036fea72b06
