File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_01.cpp,26,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_01.cpp,28,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_01.cpp,109,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_02.cpp,26,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_02.cpp,28,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_02.cpp,145,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_03.cpp,26,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_03.cpp,28,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_03.cpp,145,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_04.cpp,26,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_04.cpp,28,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_04.cpp,151,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_05.cpp,26,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_05.cpp,28,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_05.cpp,151,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_06.cpp,26,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_06.cpp,28,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_06.cpp,150,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE36_Absolute_Path_Traversal/s02/CWE36_Absolute_Path_Traversal__char_environment_ofstream_07.cpp,26,16,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",#define GETENV getenv,426f7ed5f374f43a3a5cf8e929b656f64200e6705fb355016281da9d000b40e9
