File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_01.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_01.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_02.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_02.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_03.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_03.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_04.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_04.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_05.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_05.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_06.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_06.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_07.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_07.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_08.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_08.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_09.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_09.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_10.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_10.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_11.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_11.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_12.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_12.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_13.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_13.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_14.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_14.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_15.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_15.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_16.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_16.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_17.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_17.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_18.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__char_mktemp_18.c,44,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__wchar_t_mktemp_01.c,35,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__wchar_t_mktemp_02.c,35,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE377_Insecure_Temporary_File/CWE377_Insecure_Temporary_File__wchar_t_mktemp_03.c,35,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
