File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE401_Memory_Leak/s03/CWE401_Memory_Leak__virtual_destructor_01_bad.cpp,38,17,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"                strcpy(this->name, name);",d20b4f6516b4ec19911beec6e31f264cafa04d57d8cd305d8eb58de1fb9f4bb8
/home/input/C/testcases/CWE401_Memory_Leak/s03/CWE401_Memory_Leak__virtual_destructor_01_bad.cpp,59,13,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"            strcpy(this->name, derivedClassObject.name);",82bba6c1e20de4a0d791514948bed72f4b7f663ec38523d2565a916e719c66f9
/home/input/C/testcases/CWE401_Memory_Leak/s03/CWE401_Memory_Leak__virtual_destructor_01_bad.cpp,68,17,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"                strcpy(this->name, derivedClassObject.name);",82bba6c1e20de4a0d791514948bed72f4b7f663ec38523d2565a916e719c66f9
/home/input/C/testcases/CWE401_Memory_Leak/s03/CWE401_Memory_Leak__virtual_destructor_01_good1.cpp,37,17,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"                strcpy(this->name, name);",d20b4f6516b4ec19911beec6e31f264cafa04d57d8cd305d8eb58de1fb9f4bb8
/home/input/C/testcases/CWE401_Memory_Leak/s03/CWE401_Memory_Leak__virtual_destructor_01_good1.cpp,57,13,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"            strcpy(this->name, derivedClassObject.name);",82bba6c1e20de4a0d791514948bed72f4b7f663ec38523d2565a916e719c66f9
/home/input/C/testcases/CWE401_Memory_Leak/s03/CWE401_Memory_Leak__virtual_destructor_01_good1.cpp,66,17,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"                strcpy(this->name, derivedClassObject.name);",82bba6c1e20de4a0d791514948bed72f4b7f663ec38523d2565a916e719c66f9
/home/input/C/testcases/CWE401_Memory_Leak/s03/CWE401_Memory_Leak__strdup_wchar_t_01.c,93,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE401_Memory_Leak/s03/CWE401_Memory_Leak__strdup_wchar_t_02.c,166,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE401_Memory_Leak/s03/CWE401_Memory_Leak__strdup_wchar_t_03.c,166,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE401_Memory_Leak/s03/CWE401_Memory_Leak__strdup_wchar_t_04.c,172,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
