File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE426_Untrusted_Search_Path/CWE426_Untrusted_Search_Path__char_popen_01.c,39,15,4,shell,popen,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define POPEN popen,efecde452ac0058aaee9570ffa73df6fcd2073623587b1a97550acb8fc888da2
/home/input/C/testcases/CWE426_Untrusted_Search_Path/CWE426_Untrusted_Search_Path__char_popen_01.c,51,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy(data, BAD_OS_COMMAND);",afe4df39ae9e5865dfee46d60bad113e7d688d5fd9c23d6eaf07ab27c1c90da6
/home/input/C/testcases/CWE426_Untrusted_Search_Path/CWE426_Untrusted_Search_Path__char_popen_01.c,75,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy(data, GOOD_OS_COMMAND);",861a551e9b8e04d1b3409a18a4501f754620beafc3dfbbd8e22db1327e0b6e55
/home/input/C/testcases/CWE426_Untrusted_Search_Path/CWE426_Untrusted_Search_Path__char_popen_02.c,39,15,4,shell,popen,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define POPEN popen,efecde452ac0058aaee9570ffa73df6fcd2073623587b1a97550acb8fc888da2
/home/input/C/testcases/CWE426_Untrusted_Search_Path/CWE426_Untrusted_Search_Path__char_popen_02.c,53,9,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"        strcpy(data, BAD_OS_COMMAND);",afe4df39ae9e5865dfee46d60bad113e7d688d5fd9c23d6eaf07ab27c1c90da6
/home/input/C/testcases/CWE426_Untrusted_Search_Path/CWE426_Untrusted_Search_Path__char_popen_02.c,85,9,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"        strcpy(data, GOOD_OS_COMMAND);",861a551e9b8e04d1b3409a18a4501f754620beafc3dfbbd8e22db1327e0b6e55
/home/input/C/testcases/CWE426_Untrusted_Search_Path/CWE426_Untrusted_Search_Path__char_popen_02.c,108,9,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"        strcpy(data, GOOD_OS_COMMAND);",861a551e9b8e04d1b3409a18a4501f754620beafc3dfbbd8e22db1327e0b6e55
/home/input/C/testcases/CWE426_Untrusted_Search_Path/CWE426_Untrusted_Search_Path__char_popen_03.c,39,15,4,shell,popen,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define POPEN popen,efecde452ac0058aaee9570ffa73df6fcd2073623587b1a97550acb8fc888da2
/home/input/C/testcases/CWE426_Untrusted_Search_Path/CWE426_Untrusted_Search_Path__char_popen_03.c,53,9,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"        strcpy(data, BAD_OS_COMMAND);",afe4df39ae9e5865dfee46d60bad113e7d688d5fd9c23d6eaf07ab27c1c90da6
/home/input/C/testcases/CWE426_Untrusted_Search_Path/CWE426_Untrusted_Search_Path__char_popen_03.c,85,9,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"        strcpy(data, GOOD_OS_COMMAND);",861a551e9b8e04d1b3409a18a4501f754620beafc3dfbbd8e22db1327e0b6e55
