File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_01.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_02.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_03.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_04.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_05.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_06.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_07.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_08.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_09.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_10.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_11.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_12.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_13.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_14.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_15.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_16.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_17.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__wchar_t_18.c,26,16,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,#define MKTEMP mktemp,57fc76a26b8a4d68f64d683d2145a582e15b9dc71088ae7201b87b820a940148
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_01.c,101,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_02.c,139,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_03.c,139,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_04.c,145,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_05.c,145,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_06.c,144,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_07.c,144,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_08.c,152,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_09.c,139,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_10.c,139,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_11.c,139,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_12.c,148,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_13.c,139,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_14.c,139,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE459_Incomplete_Cleanup/CWE459_Incomplete_Cleanup__char_15.c,152,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
