File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE506_Embedded_Malicious_Code/CWE506_Embedded_Malicious_Code__w32_aes_encrypted_payload_01.c,67,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,            if(system((char*)payload) <= 0),d55a7168ea3909df3261ebf06cb37ff100859620a64e429788284766cab5aea8
/home/input/C/testcases/CWE506_Embedded_Malicious_Code/CWE506_Embedded_Malicious_Code__w32_aes_encrypted_payload_01.c,98,12,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,        if(system(payload) <= 0),e2345d1113da2e0369f1a7c5c211b34644e897b5e6899cb69aff36aa196e6d1b
/home/input/C/testcases/CWE506_Embedded_Malicious_Code/CWE506_Embedded_Malicious_Code__w32_aes_encrypted_payload_02.c,69,20,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,                if(system((char*)payload) <= 0),d55a7168ea3909df3261ebf06cb37ff100859620a64e429788284766cab5aea8
/home/input/C/testcases/CWE506_Embedded_Malicious_Code/CWE506_Embedded_Malicious_Code__w32_aes_encrypted_payload_02.c,109,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,            if(system(payload) <= 0),e2345d1113da2e0369f1a7c5c211b34644e897b5e6899cb69aff36aa196e6d1b
/home/input/C/testcases/CWE506_Embedded_Malicious_Code/CWE506_Embedded_Malicious_Code__w32_aes_encrypted_payload_02.c,126,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,            if(system(payload) <= 0),e2345d1113da2e0369f1a7c5c211b34644e897b5e6899cb69aff36aa196e6d1b
/home/input/C/testcases/CWE506_Embedded_Malicious_Code/CWE506_Embedded_Malicious_Code__w32_aes_encrypted_payload_03.c,69,20,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,                if(system((char*)payload) <= 0),d55a7168ea3909df3261ebf06cb37ff100859620a64e429788284766cab5aea8
/home/input/C/testcases/CWE506_Embedded_Malicious_Code/CWE506_Embedded_Malicious_Code__w32_aes_encrypted_payload_03.c,109,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,            if(system(payload) <= 0),e2345d1113da2e0369f1a7c5c211b34644e897b5e6899cb69aff36aa196e6d1b
/home/input/C/testcases/CWE506_Embedded_Malicious_Code/CWE506_Embedded_Malicious_Code__w32_aes_encrypted_payload_03.c,126,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,            if(system(payload) <= 0),e2345d1113da2e0369f1a7c5c211b34644e897b5e6899cb69aff36aa196e6d1b
/home/input/C/testcases/CWE506_Embedded_Malicious_Code/CWE506_Embedded_Malicious_Code__w32_aes_encrypted_payload_04.c,75,20,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,                if(system((char*)payload) <= 0),d55a7168ea3909df3261ebf06cb37ff100859620a64e429788284766cab5aea8
/home/input/C/testcases/CWE506_Embedded_Malicious_Code/CWE506_Embedded_Malicious_Code__w32_aes_encrypted_payload_04.c,115,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,            if(system(payload) <= 0),e2345d1113da2e0369f1a7c5c211b34644e897b5e6899cb69aff36aa196e6d1b
