File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_01.c,100,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_02.c,146,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_03.c,146,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_04.c,152,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_05.c,152,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_06.c,151,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_07.c,151,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_08.c,159,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_09.c,146,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_10.c,146,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_11.c,146,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_12.c,163,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_13.c,146,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_14.c,146,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_15.c,159,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_16.c,109,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_17.c,109,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_18.c,105,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/main.cpp,15,2,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,	srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_01.c,28,9,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,        wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_01.c,57,9,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,        wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_01.c,58,9,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,        wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_02.c,30,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_02.c,68,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_02.c,69,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_02.c,101,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_02.c,102,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_03.c,30,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_03.c,68,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_03.c,69,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_03.c,101,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_03.c,102,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_04.c,36,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_04.c,74,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_04.c,75,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_04.c,107,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t oldPassword[256];,7743056272c020d9cbac145e4dcb6729b76e5c37eea4e0b8cc4a683e919dd1f8
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_04.c,108,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
/home/input/C/testcases/CWE620_Unverified_Password_Change/CWE620_Unverified_Password_Change__w32_05.c,36,13,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            wchar_t newPassword[256];,136229da77c1473b2716fe9f3e91b8ceb9e232d68b76c83e6ea3d50f5744d544
