File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE685_Function_Call_With_Incorrect_Number_of_Arguments/CWE685_Function_Call_With_Incorrect_Number_of_Arguments__basic_01.c,28,9,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"        sprintf(dest, ""%s %s"", SOURCE_STRING);",6872363c72404b21199c3a6262976ba36f0b14e7dd3454e33334ed80313268c1
/home/input/C/testcases/CWE685_Function_Call_With_Incorrect_Number_of_Arguments/CWE685_Function_Call_With_Incorrect_Number_of_Arguments__basic_01.c,42,9,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"        sprintf(dest, ""%s %s"", SOURCE_STRING, SOURCE_STRING);",d07c0998af17edc7535a62b83465a606f597d9c2564527ebcd34cf3f812be51c
/home/input/C/testcases/CWE685_Function_Call_With_Incorrect_Number_of_Arguments/CWE685_Function_Call_With_Incorrect_Number_of_Arguments__basic_02.c,30,13,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"            sprintf(dest, ""%s %s"", SOURCE_STRING);",6872363c72404b21199c3a6262976ba36f0b14e7dd3454e33334ed80313268c1
/home/input/C/testcases/CWE685_Function_Call_With_Incorrect_Number_of_Arguments/CWE685_Function_Call_With_Incorrect_Number_of_Arguments__basic_02.c,53,13,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"            sprintf(dest, ""%s %s"", SOURCE_STRING, SOURCE_STRING);",d07c0998af17edc7535a62b83465a606f597d9c2564527ebcd34cf3f812be51c
/home/input/C/testcases/CWE685_Function_Call_With_Incorrect_Number_of_Arguments/CWE685_Function_Call_With_Incorrect_Number_of_Arguments__basic_02.c,67,13,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"            sprintf(dest, ""%s %s"", SOURCE_STRING, SOURCE_STRING);",d07c0998af17edc7535a62b83465a606f597d9c2564527ebcd34cf3f812be51c
/home/input/C/testcases/CWE685_Function_Call_With_Incorrect_Number_of_Arguments/CWE685_Function_Call_With_Incorrect_Number_of_Arguments__basic_03.c,30,13,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"            sprintf(dest, ""%s %s"", SOURCE_STRING);",6872363c72404b21199c3a6262976ba36f0b14e7dd3454e33334ed80313268c1
/home/input/C/testcases/CWE685_Function_Call_With_Incorrect_Number_of_Arguments/CWE685_Function_Call_With_Incorrect_Number_of_Arguments__basic_03.c,53,13,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"            sprintf(dest, ""%s %s"", SOURCE_STRING, SOURCE_STRING);",d07c0998af17edc7535a62b83465a606f597d9c2564527ebcd34cf3f812be51c
/home/input/C/testcases/CWE685_Function_Call_With_Incorrect_Number_of_Arguments/CWE685_Function_Call_With_Incorrect_Number_of_Arguments__basic_03.c,67,13,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"            sprintf(dest, ""%s %s"", SOURCE_STRING, SOURCE_STRING);",d07c0998af17edc7535a62b83465a606f597d9c2564527ebcd34cf3f812be51c
/home/input/C/testcases/CWE685_Function_Call_With_Incorrect_Number_of_Arguments/CWE685_Function_Call_With_Incorrect_Number_of_Arguments__basic_04.c,36,13,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"            sprintf(dest, ""%s %s"", SOURCE_STRING);",6872363c72404b21199c3a6262976ba36f0b14e7dd3454e33334ed80313268c1
/home/input/C/testcases/CWE685_Function_Call_With_Incorrect_Number_of_Arguments/CWE685_Function_Call_With_Incorrect_Number_of_Arguments__basic_04.c,59,13,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"            sprintf(dest, ""%s %s"", SOURCE_STRING, SOURCE_STRING);",d07c0998af17edc7535a62b83465a606f597d9c2564527ebcd34cf3f812be51c
/home/input/C/testcases/CWE685_Function_Call_With_Incorrect_Number_of_Arguments/CWE685_Function_Call_With_Incorrect_Number_of_Arguments__basic_04.c,73,13,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"            sprintf(dest, ""%s %s"", SOURCE_STRING, SOURCE_STRING);",d07c0998af17edc7535a62b83465a606f597d9c2564527ebcd34cf3f812be51c
/home/input/C/testcases/CWE685_Function_Call_With_Incorrect_Number_of_Arguments/CWE685_Function_Call_With_Incorrect_Number_of_Arguments__basic_05.c,36,13,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"            sprintf(dest, ""%s %s"", SOURCE_STRING);",6872363c72404b21199c3a6262976ba36f0b14e7dd3454e33334ed80313268c1
