File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer__w32_01.c,90,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer__w32_02.c,126,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer__w32_03.c,126,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer__w32_04.c,132,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer__w32_05.c,132,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer__w32_06.c,131,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer__w32_07.c,131,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer__w32_08.c,139,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer__w32_09.c,126,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer__w32_10.c,126,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer__w32_11.c,126,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer/CWE785_Path_Manipulation_Function_Without_Max_Sized_Buffer__w32_12.c,133,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
