File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_01.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_02.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_03.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_04.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_05.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_06.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_07.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_08.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_09.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_10.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_11.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_12.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_13.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_14.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_15.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_16.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_17.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_18.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_21.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_22a.c,40,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_31.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_32.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_33.cpp,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_34.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_41.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_42.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_43.cpp,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_44.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_45.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_51a.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_51b.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_52a.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_52b.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_52c.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_53a.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_53b.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_53c.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_53d.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_54a.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_54b.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_54c.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_54d.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_54e.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_61a.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_61b.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_62a.cpp,40,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_63a.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_63b.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_64a.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_64b.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_65a.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
/home/input/C/testcases/CWE78_OS_Command_Injection/s04/CWE78_OS_Command_Injection__char_listen_socket_execl_65b.c,60,15,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,#define EXECL execl,0fd089821f4d5d9a73950036e770d020be5fff9ea2f96b77621202bcbc4b9b96
